[03:06:57.137] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.84		 /		
[03:06:57.237] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.239999		 /		
[03:06:57.341] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.56		 /		
[03:06:57.441] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:57.542] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:57.642] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:57.742] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:57.847] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:57.956] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -9.72		 /		
[03:06:58.045] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -9.32		 /		
[03:06:58.147] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.92		 /		
[03:06:58.248] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.6		 /		
[03:06:58.345] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.28		 /		
[03:06:58.443] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:58.544] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:58.644] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:58.738] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:58.839] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:58.944] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:59.045] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.279999		 /		
[03:06:59.144] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.96		 /		
[03:06:59.244] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.56		 /		
[03:06:59.346] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.16		 /		
[03:06:59.436] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.84		 /		
[03:06:59.537] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.52		 /		
[03:06:59.638] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.12		 /		
[03:06:59.741] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.8		 /		
[03:06:59.841] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.4		 /		
[03:06:59.941] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5		 /		
[03:07:00.041] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.145] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.247] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.347] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.437] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.540] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.647] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -4.84		 /		
[03:07:00.747] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.44		 /		
[03:07:00.840] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.2		 /		
[03:07:00.945] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.8		 /		
[03:07:01.049] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.4		 /		
[03:07:01.138] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.08		 /		
[03:07:01.239] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
